,Unnamed: 0,USAF,WBAN,YEAR,MONTH,YEARMODA,TEMP,DEWP,WDSP,MAX,MIN,PRCP,DAY,CTRY,STATE,LAT,LON,ELEV(M),LBL
924,326208,727920,24227,2019,1,2019-01-16 00:00:00,40.4,37.7,2.0,51.1,30.0,0.0,16.0,US,WA,46.973,-122.903,57.3,"OLYMPIA AIRPORT, WA, US<br>Elevation: 57.3 m"
925,326209,727920,24227,2019,2,2019-02-14 12:00:00,34.6,30.55,4.0,43.55,26.35,0.03,14.5,US,WA,46.973,-122.903,57.3,"OLYMPIA AIRPORT, WA, US<br>Elevation: 57.3 m"
926,326210,727920,24227,2019,3,2019-03-16 00:00:00,44.3,33.5,3.1,59.0,28.0,0.0,16.0,US,WA,46.973,-122.903,57.3,"OLYMPIA AIRPORT, WA, US<br>Elevation: 57.3 m"
927,326211,727920,24227,2019,4,2019-04-09 00:00:00,48.6,42.4,5.2,57.9,39.0,0.03,9.0,US,WA,46.973,-122.903,57.3,"OLYMPIA AIRPORT, WA, US<br>Elevation: 57.3 m"
1127,455196,727815,24237,2019,1,2019-01-16 00:00:00,30.5,25.7,4.6,35.1,27.0,0.01,16.0,US,WA,47.277,-121.337,1206.7,"STAMPASS PASS FLTWO, WA, US<br>Elevation: 1206.7 m"
1128,455197,727815,24237,2019,2,2019-02-14 12:00:00,23.9,18.65,3.35,28.9,18.0,0.02,14.5,US,WA,47.277,-121.337,1206.7,"STAMPASS PASS FLTWO, WA, US<br>Elevation: 1206.7 m"
1129,455198,727815,24237,2019,3,2019-03-16 00:00:00,35.6,23.9,2.9,45.0,28.0,0.0,16.0,US,WA,47.277,-121.337,1206.7,"STAMPASS PASS FLTWO, WA, US<br>Elevation: 1206.7 m"
1130,455199,727815,24237,2019,4,2019-04-10 00:00:00,37.6,32.1,3.0,43.0,33.1,2.73,10.0,US,WA,47.277,-121.337,1206.7,"STAMPASS PASS FLTWO, WA, US<br>Elevation: 1206.7 m"
1359,586552,727810,24243,2019,1,2019-01-16 00:00:00,33.3,28.3,3.0,44.1,24.1,0.0,16.0,US,WA,46.568,-120.543,324.3,"YAKIMA AIR TERMINAL/MCALSR FIELD AP, WA, US<br>Elevation: 324.3 m"
1360,586553,727810,24243,2019,2,2019-02-14 12:00:00,25.05,17.35,2.8,33.1,18.05,0.015,14.5,US,WA,46.568,-120.543,324.3,"YAKIMA AIR TERMINAL/MCALSR FIELD AP, WA, US<br>Elevation: 324.3 m"
1361,586554,727810,24243,2019,3,2019-03-16 00:00:00,37.7,27.7,4.4,48.9,26.1,0.0,16.0,US,WA,46.568,-120.543,324.3,"YAKIMA AIR TERMINAL/MCALSR FIELD AP, WA, US<br>Elevation: 324.3 m"
1362,586555,727810,24243,2019,4,2019-04-09 00:00:00,50.2,35.0,5.3,62.1,36.0,0.0,9.0,US,WA,46.568,-120.543,324.3,"YAKIMA AIR TERMINAL/MCALSR FIELD AP, WA, US<br>Elevation: 324.3 m"
1591,625469,727925,94227,2019,1,2019-01-16 00:00:00,39.4,36.3,1.5,51.1,33.1,0.0,16.0,US,WA,47.238,-123.141,82.6,"SANDERSON FIELD AIRPORT, WA, US<br>Elevation: 82.6 m"
1592,625470,727925,94227,2019,2,2019-02-14 12:00:00,34.95,29.4,3.2,44.55,27.5,0.025,14.5,US,WA,47.238,-123.141,82.6,"SANDERSON FIELD AIRPORT, WA, US<br>Elevation: 82.6 m"
1593,625471,727925,94227,2019,3,2019-03-16 00:00:00,45.8,32.7,3.1,60.1,28.0,0.0,16.0,US,WA,47.238,-123.141,82.6,"SANDERSON FIELD AIRPORT, WA, US<br>Elevation: 82.6 m"
1594,625472,727925,94227,2019,4,2019-04-09 00:00:00,49.4,42.3,6.9,57.9,41.0,0.07,9.0,US,WA,47.238,-123.141,82.6,"SANDERSON FIELD AIRPORT, WA, US<br>Elevation: 82.6 m"
1823,665420,727825,94239,2019,1,2019-01-16 00:00:00,31.1,26.7,2.9,37.0,26.1,0.0,16.0,US,WA,47.398,-120.201,374.6,"PANGBORN MEMORIAL AIRPORT, WA, US<br>Elevation: 374.6 m"
1824,665421,727825,94239,2019,2,2019-02-14 12:00:00,22.6,16.85,3.35,29.45,14.0,0.0,14.5,US,WA,47.398,-120.201,374.6,"PANGBORN MEMORIAL AIRPORT, WA, US<br>Elevation: 374.6 m"
1825,665422,727825,94239,2019,3,2019-03-16 00:00:00,36.7,26.3,3.9,46.0,24.1,0.0,16.0,US,WA,47.398,-120.201,374.6,"PANGBORN MEMORIAL AIRPORT, WA, US<br>Elevation: 374.6 m"
1826,665423,727825,94239,2019,4,2019-04-09 00:00:00,48.7,34.3,7.0,60.1,39.0,0.0,9.0,US,WA,47.398,-120.201,374.6,"PANGBORN MEMORIAL AIRPORT, WA, US<br>Elevation: 374.6 m"
2055,701513,727970,94240,2019,1,2019-01-16 00:00:00,42.9,35.8,3.9,52.0,33.1,0.01,16.0,US,WA,47.938,-124.555,56.4,"QUILLAYUTE AIRPORT, WA, US<br>Elevation: 56.4 m"
2056,701514,727970,94240,2019,2,2019-02-14 12:00:00,34.95,28.0,4.199999999999999,43.55,26.15,0.05,14.5,US,WA,47.938,-124.555,56.4,"QUILLAYUTE AIRPORT, WA, US<br>Elevation: 56.4 m"
2057,701515,727970,94240,2019,3,2019-03-16 00:00:00,44.5,36.3,3.7,55.0,30.9,0.0,16.0,US,WA,47.938,-124.555,56.4,"QUILLAYUTE AIRPORT, WA, US<br>Elevation: 56.4 m"
2058,701516,727970,94240,2019,4,2019-04-09 00:00:00,47.4,43.7,4.0,55.9,41.0,0.11,9.0,US,WA,47.938,-124.555,56.4,"QUILLAYUTE AIRPORT, WA, US<br>Elevation: 56.4 m"
2287,701977,727930,24233,2019,1,2019-01-16 00:00:00,44.1,36.2,6.7,51.1,36.0,0.0,16.0,US,WA,47.444,-122.314,112.8,"SEATTLE-TACOMA INTERNATIONAL AIRPORT, WA, US<br>Elevation: 112.8 m"
2288,701978,727930,24233,2019,2,2019-02-14 12:00:00,37.85,28.6,6.75,44.1,31.0,0.04,14.5,US,WA,47.444,-122.314,112.8,"SEATTLE-TACOMA INTERNATIONAL AIRPORT, WA, US<br>Elevation: 112.8 m"
2289,701979,727930,24233,2019,3,2019-03-16 00:00:00,49.3,35.1,6.0,60.1,39.9,0.0,16.0,US,WA,47.444,-122.314,112.8,"SEATTLE-TACOMA INTERNATIONAL AIRPORT, WA, US<br>Elevation: 112.8 m"
2290,701980,727930,24233,2019,4,2019-04-09 00:00:00,50.0,41.5,7.2,60.1,45.0,0.09,9.0,US,WA,47.444,-122.314,112.8,"SEATTLE-TACOMA INTERNATIONAL AIRPORT, WA, US<br>Elevation: 112.8 m"
2519,780106,727846,24160,2019,1,2019-01-16 00:00:00,35.4,28.9,3.3,46.9,30.9,0.0,16.0,US,WA,46.095,-118.287,355.4,"WALLA WALLA REGIONAL ARPT, WA, US<br>Elevation: 355.4 m"
2520,780107,727846,24160,2019,2,2019-02-14 12:00:00,27.65,23.15,5.2,36.0,22.55,0.03,14.5,US,WA,46.095,-118.287,355.4,"WALLA WALLA REGIONAL ARPT, WA, US<br>Elevation: 355.4 m"
2521,780108,727846,24160,2019,3,2019-03-16 00:00:00,37.7,29.7,4.3,45.0,30.0,0.0,16.0,US,WA,46.095,-118.287,355.4,"WALLA WALLA REGIONAL ARPT, WA, US<br>Elevation: 355.4 m"
2522,780109,727846,24160,2019,4,2019-04-09 00:00:00,50.9,40.7,8.0,60.1,45.0,0.06,9.0,US,WA,46.095,-118.287,355.4,"WALLA WALLA REGIONAL ARPT, WA, US<br>Elevation: 355.4 m"
2751,1146884,727850,24157,2019,1,2019-01-16 00:00:00,30.5,26.6,5.7,37.0,23.0,0.0,16.0,US,WA,47.622,-117.528,717.2,"SPOKANE INTERNATIONAL AIRPORT, WA, US<br>Elevation: 717.2 m"
2752,1146885,727850,24157,2019,2,2019-02-14 12:00:00,21.8,14.35,5.7,30.0,11.9,0.04,14.5,US,WA,47.622,-117.528,717.2,"SPOKANE INTERNATIONAL AIRPORT, WA, US<br>Elevation: 717.2 m"
2753,1146886,727850,24157,2019,3,2019-03-16 00:00:00,35.1,25.2,5.6,50.0,21.9,0.0,16.0,US,WA,47.622,-117.528,717.2,"SPOKANE INTERNATIONAL AIRPORT, WA, US<br>Elevation: 717.2 m"
2754,1146887,727850,24157,2019,4,2019-04-09 00:00:00,45.0,34.6,7.6,54.0,34.0,0.01,9.0,US,WA,47.622,-117.528,717.2,"SPOKANE INTERNATIONAL AIRPORT, WA, US<br>Elevation: 717.2 m"
2935,1376445,727883,24220,2019,1,2019-01-16 00:00:00,33.5,29.1,2.2,41.0,27.0,0.0,16.0,US,WA,47.034,-120.53,538.3,"BOWERS FIELD AIRPORT, WA, US<br>Elevation: 538.3 m"
2936,1376446,727883,24220,2019,2,2019-02-14 12:00:00,28.200000000000003,17.3,2.8,37.0,14.0,0.005,14.5,US,WA,47.034,-120.53,538.3,"BOWERS FIELD AIRPORT, WA, US<br>Elevation: 538.3 m"
2937,1376447,727883,24220,2019,3,2019-03-16 00:00:00,37.7,27.1,2.5,48.9,25.0,0.0,16.0,US,WA,47.034,-120.53,538.3,"BOWERS FIELD AIRPORT, WA, US<br>Elevation: 538.3 m"
2938,1376448,727883,24220,2019,4,2019-04-09 00:00:00,48.1,36.1,8.4,60.1,39.0,0.0,9.0,US,WA,47.034,-120.53,538.3,"BOWERS FIELD AIRPORT, WA, US<br>Elevation: 538.3 m"
3119,1380739,727845,24163,2019,1,2019-01-16 00:00:00,36.6,32.1,4.2,44.1,28.9,0.0,16.0,US,WA,46.267,-119.117,124.1,"TRI-CITIES AIRPORT, WA, US<br>Elevation: 124.1 m"
3120,1380740,727845,24163,2019,2,2019-02-14 12:00:00,25.8,21.8,4.9,34.1,16.0,0.02,14.5,US,WA,46.267,-119.117,124.1,"TRI-CITIES AIRPORT, WA, US<br>Elevation: 124.1 m"
3121,1380741,727845,24163,2019,3,2019-03-16 00:00:00,33.2,28.2,3.6,48.9,21.9,0.0,16.0,US,WA,46.267,-119.117,124.1,"TRI-CITIES AIRPORT, WA, US<br>Elevation: 124.1 m"
3122,1380742,727845,24163,2019,4,2019-04-09 00:00:00,54.6,39.8,8.2,66.0,44.1,0.0,9.0,US,WA,46.267,-119.117,124.1,"TRI-CITIES AIRPORT, WA, US<br>Elevation: 124.1 m"
3303,1389557,727935,24234,2019,1,2019-01-16 00:00:00,43.7,37.2,3.3,52.0,34.0,0.0,16.0,US,WA,47.53,-122.301,5.5,"BOEING FLD/KING CO INTL AP, WA, US<br>Elevation: 5.5 m"
3304,1389558,727935,24234,2019,2,2019-02-14 12:00:00,37.75,29.5,4.05,44.1,30.0,0.02,14.5,US,WA,47.53,-122.301,5.5,"BOEING FLD/KING CO INTL AP, WA, US<br>Elevation: 5.5 m"
3305,1389559,727935,24234,2019,3,2019-03-16 00:00:00,50.0,34.8,3.6,57.9,39.0,0.0,16.0,US,WA,47.53,-122.301,5.5,"BOEING FLD/KING CO INTL AP, WA, US<br>Elevation: 5.5 m"
3306,1389560,727935,24234,2019,4,2019-04-09 00:00:00,51.5,41.3,5.1,59.0,46.0,0.05,9.0,US,WA,47.53,-122.301,5.5,"BOEING FLD/KING CO INTL AP, WA, US<br>Elevation: 5.5 m"
3486,1400037,727924,24223,2019,1,2019-01-16 00:00:00,41.6,38.8,3.2,52.0,36.0,0.01,16.0,US,WA,46.117,-122.894,6.1,"KELSO-LONGVIEW AIRPORT, WA, US<br>Elevation: 6.1 m"
3487,1400038,727924,24223,2019,2,2019-02-14 12:00:00,36.65,33.7,4.1,44.1,30.9,0.025,14.5,US,WA,46.117,-122.894,6.1,"KELSO-LONGVIEW AIRPORT, WA, US<br>Elevation: 6.1 m"
3488,1400039,727924,24223,2019,3,2019-03-16 00:00:00,46.0,35.3,2.3,60.1,32.0,0.0,16.0,US,WA,46.117,-122.894,6.1,"KELSO-LONGVIEW AIRPORT, WA, US<br>Elevation: 6.1 m"
3489,1400040,727924,24223,2019,4,2019-04-09 00:00:00,50.7,44.8,3.7,60.1,45.0,0.08,9.0,US,WA,46.117,-122.894,6.1,"KELSO-LONGVIEW AIRPORT, WA, US<br>Elevation: 6.1 m"
3670,1402228,727827,24110,2019,1,2019-01-16 00:00:00,34.1,29.5,4.9,44.1,26.1,0.0,16.0,US,WA,47.208,-119.319,364.5,"GRANT COUNTY INTL AIRPORT, WA, US<br>Elevation: 364.5 m"
3671,1402229,727827,24110,2019,2,2019-02-14 12:00:00,25.15,16.05,6.15,32.0,15.1,0.0,14.5,US,WA,47.208,-119.319,364.5,"GRANT COUNTY INTL AIRPORT, WA, US<br>Elevation: 364.5 m"
3672,1402230,727827,24110,2019,3,2019-03-16 00:00:00,33.7,25.2,5.1,46.9,23.0,0.0,16.0,US,WA,47.208,-119.319,364.5,"GRANT COUNTY INTL AIRPORT, WA, US<br>Elevation: 364.5 m"
3673,1402231,727827,24110,2019,4,2019-04-09 00:00:00,52.1,37.6,6.6,62.1,39.0,0.01,9.0,US,WA,47.208,-119.319,364.5,"GRANT COUNTY INTL AIRPORT, WA, US<br>Elevation: 364.5 m"
3842,1434466,727855,24114,2019,1,2019-01-16 00:00:00,29.8,28.8,5.6,34.7,22.8,0.0,16.0,US,WA,47.633,-117.65,750.1,"FAIRCHILD AIR FORCE BASE, WA, US<br>Elevation: 750.1 m"
3843,1434467,727855,24114,2019,2,2019-02-14 12:00:00,21.25,16.950000000000003,5.75,28.85,10.2,0.01,14.5,US,WA,47.633,-117.65,750.1,"FAIRCHILD AIR FORCE BASE, WA, US<br>Elevation: 750.1 m"
3844,1434468,727855,24114,2019,3,2019-03-16 00:00:00,33.4,26.8,4.7,44.6,23.5,0.0,16.0,US,WA,47.633,-117.65,750.1,"FAIRCHILD AIR FORCE BASE, WA, US<br>Elevation: 750.1 m"
3845,1434469,727855,24114,2019,4,2019-04-09 00:00:00,44.5,37.2,7.4,53.6,33.8,0.06,9.0,US,WA,47.633,-117.65,750.1,"FAIRCHILD AIR FORCE BASE, WA, US<br>Elevation: 750.1 m"
4002,1435860,727900,24141,2019,1,2019-01-16 00:00:00,34.4,28.5,5.6,43.0,26.1,0.0,16.0,US,WA,47.308,-119.515,381.6,"EPHRATA MUNICIPAL AIRPORT, WA, US<br>Elevation: 381.6 m"
4003,1435861,727900,24141,2019,2,2019-02-14 12:00:00,23.75,16.2,6.449999999999999,31.45,14.9,0.0,14.5,US,WA,47.308,-119.515,381.6,"EPHRATA MUNICIPAL AIRPORT, WA, US<br>Elevation: 381.6 m"
4004,1435862,727900,24141,2019,3,2019-03-16 00:00:00,37.7,26.2,5.4,45.0,25.0,0.0,16.0,US,WA,47.308,-119.515,381.6,"EPHRATA MUNICIPAL AIRPORT, WA, US<br>Elevation: 381.6 m"
4005,1435863,727900,24141,2019,4,2019-04-09 00:00:00,51.3,35.6,6.4,60.1,41.0,0.0,9.0,US,WA,47.308,-119.515,381.6,"EPHRATA MUNICIPAL AIRPORT, WA, US<br>Elevation: 381.6 m"
4159,1450506,720749,24255,2019,1,2019-01-16 00:00:00,45.0,36.8,6.3,53.1,37.0,0.0,16.0,US,WA,48.35,-122.667,14.3,"WHIDBEY ISLAND NAS, WA, US<br>Elevation: 14.3 m"
4160,1450507,720749,24255,2019,2,2019-02-14 12:00:00,38.75,28.3,6.75,46.0,30.0,0.01,14.5,US,WA,48.35,-122.667,14.3,"WHIDBEY ISLAND NAS, WA, US<br>Elevation: 14.3 m"
4161,1450508,720749,24255,2019,3,2019-03-16 00:00:00,47.2,37.3,5.2,55.9,35.1,0.0,16.0,US,WA,48.35,-122.667,14.3,"WHIDBEY ISLAND NAS, WA, US<br>Elevation: 14.3 m"
4162,1450509,720749,24255,2019,4,2019-04-09 00:00:00,51.6,42.1,7.7,59.0,46.0,0.07,9.0,US,WA,48.35,-122.667,14.3,"WHIDBEY ISLAND NAS, WA, US<br>Elevation: 14.3 m"
4331,1463119,742060,24207,2019,1,2019-01-16 00:00:00,41.1,40.5,1.5,51.1,30.0,0.03,16.0,US,WA,47.15,-122.483,98.2,"MCCHORD AFB AIRPORT, WA, US<br>Elevation: 98.2 m"
4332,1463120,742060,24207,2019,2,2019-02-14 12:00:00,35.55,33.75,3.9,44.35,26.25,0.03,14.5,US,WA,47.15,-122.483,98.2,"MCCHORD AFB AIRPORT, WA, US<br>Elevation: 98.2 m"
4333,1463121,742060,24207,2019,3,2019-03-16 00:00:00,46.1,39.6,3.1,58.8,28.8,0.0,16.0,US,WA,47.15,-122.483,98.2,"MCCHORD AFB AIRPORT, WA, US<br>Elevation: 98.2 m"
4334,1463122,742060,24207,2019,4,2019-04-09 00:00:00,50.1,46.6,5.0,59.0,42.3,0.03,9.0,US,WA,47.15,-122.483,98.2,"MCCHORD AFB AIRPORT, WA, US<br>Elevation: 98.2 m"
4374,1529713,727884,99999,2019,1,2019-01-16 00:00:00,37.3,33.9,3.0,44.6,32.2,0.0,16.0,US,WA,46.306,-119.304,120.1,"RICHLAND AIRPORT, WA, US<br>Elevation: 120.1 m"
4375,1529714,727884,99999,2019,2,2019-02-14 12:00:00,27.35,23.3,3.4,32.45,20.45,0.03,14.5,US,WA,46.306,-119.304,120.1,"RICHLAND AIRPORT, WA, US<br>Elevation: 120.1 m"
4376,1529715,727884,99999,2019,3,2019-03-16 00:00:00,38.2,31.0,2.6,49.1,26.6,0.0,16.0,US,WA,46.306,-119.304,120.1,"RICHLAND AIRPORT, WA, US<br>Elevation: 120.1 m"
4377,1529716,727884,99999,2019,4,2019-04-08 12:00:00,54.25,40.05,6.550000000000001,64.4,46.6,0.025,8.5,US,WA,46.306,-119.304,120.1,"RICHLAND AIRPORT, WA, US<br>Elevation: 120.1 m"
